BordersRiver,PupilTeacherRatio,MedianValueInThousands
0,17.4,41.7
0,17.4,48.3
1,17.4,29
0,17.4,24
1,17.4,25.1
0,17.4,31.5
0,16.6,23.7
0,16.6,23.3
0,16.6,22
0,16.6,20.1
0,16.6,22.2
0,16.6,23.7
0,19.1,17.6
0,19.1,18.5
0,19.1,24.3
0,19.1,20.5
0,19.1,24.5
0,19.1,26.2
0,19.1,24.4
0,19.1,24.8
0,19.1,29.6
0,19.1,42.8
0,16.4,21.9
0,16.4,20.9
0,15.9,44
0,13,50
0,13,36
0,13,30.1
0,13,33.8
0,13,43.1
0,13,48.8
0,13,31
0,13,36.5
0,13,22.8
0,13,30.7
0,13,50
0,13,43.5
1,18.6,20.7
0,18.6,21.1
0,18.6,25.2
0,18.6,24.4
1,18.6,35.2
1,17.6,32.4
0,17.6,32
1,17.6,33.2
1,17.6,33.1
0,17.6,29.1
0,14.9,35.1
0,14.9,45.4
0,14.9,35.4
1,14.9,46
1,13.6,50
0,15.3,32.2
0,15.3,22
0,18.2,20.1
0,16.6,23.2
0,16.6,22.3
0,16.6,24.8
0,19.2,28.5
0,19.2,37.3
0,19.2,27.9
0,16,23.9
0,16,21.7
0,16,28.6
0,16,27.1
0,16,20.3
0,14.8,22.5
0,14.8,29
0,14.8,24.8
0,16.1,22
0,16.1,26.4
0,16.1,33.1
0,18.4,36.1
0,18.4,28.4
0,18.4,33.4
0,18.4,28.2
0,18.4,22.8
0,18.4,20.3
0,18.4,16.1
0,18.4,22.1
0,18.4,19.4
0,18.4,21.6
0,18.4,23.8
0,18.4,16.2
0,18.4,17.8
0,18.4,19.8
0,18.4,23.1
0,18.4,21
0,19.6,23.8
0,19.6,23.1
0,19.6,20.4
0,19.6,18.5
0,19.6,25
0,19.6,24.6
0,19.6,23
0,19.6,22.2
0,16.9,19.3
0,16.9,22.6
0,16.9,19.8
0,16.9,17.1
0,16.9,19.4
0,20.2,22.2
0,20.2,20.7
0,20.2,21.1
0,20.2,19.5
0,20.2,18.5
0,20.2,20.6
0,20.2,19
0,20.2,18.7
0,15.5,32.7
0,15.9,16.5
0,17.6,23.9
0,17.6,31.2
0,18.8,17.5
0,18.8,17.2
0,17.9,23.1
0,17,24.5
0,19.7,26.6
0,19.7,22.9
0,18.3,24.1
0,18.3,18.6
0,17,30.1
0,22,18.2
0,22,20.6
1,20.2,17.8
1,20.2,21.7
1,20.2,22.7
0,20.2,22.6
0,20.2,25
0,20.2,19.9
0,20.2,20.8
1,20.2,16.8
1,20.2,21.9
0,20.2,27.5
0,20.2,21.9
0,20.2,23.1
0,20.2,50
1,20.2,50
1,20.2,50
0,20.2,50
1,20.2,50
0,20.2,13.8
0,20.2,13.8
0,20.2,15
0,20.2,13.9
0,20.2,13.3
0,20.2,13.1
0,20.2,10.2
0,20.2,10.4
0,20.2,10.9
0,20.2,11.3
0,20.2,12.3
0,20.2,8.8
0,20.2,7.2
0,20.2,10.5
0,20.2,7.4
0,20.2,10.2
0,20.2,11.5
0,20.2,15.1
0,20.2,23.2
0,20.2,9.7
0,20.2,13.8
0,20.2,12.7
0,20.2,13.1
0,20.2,12.5
0,20.2,8.5
0,20.2,5
0,20.2,6.3
0,20.2,5.6
0,20.2,7.2
0,20.2,12.1
0,20.2,8.3
0,20.2,8.5
0,20.2,5
0,20.2,11.9
0,20.2,27.9
0,20.2,17.2
0,20.2,27.5
0,20.2,15
0,20.2,17.2
0,20.2,17.9
0,20.2,16.3
0,20.2,7
0,20.2,7.2
0,20.2,7.5
0,20.2,10.4
0,20.2,8.8
0,20.2,8.4
0,20.2,16.7
0,20.2,14.2
0,20.2,20.8
0,20.2,13.4
0,20.2,11.7
0,20.2,8.3
0,20.2,10.2
0,20.2,10.9
0,20.2,11
0,20.2,9.5
0,20.2,14.5
0,20.2,14.1
0,20.2,16.1
0,20.2,14.3
0,20.2,11.7
0,20.2,13.4
0,20.2,9.6
0,20.2,8.7
0,20.2,8.4
0,20.2,12.8
0,20.2,10.5
0,20.2,17.1
0,20.2,18.4
0,20.2,15.4
0,20.2,10.8
0,20.2,11.8
0,20.2,14.9
0,20.2,12.6
0,20.2,14.1
0,20.2,13
0,20.2,13.4
0,20.2,15.2
0,20.2,16.1
0,20.2,17.8
0,20.2,14.9
0,20.2,14.1
0,20.2,12.7
0,20.2,13.5
0,20.2,14.9
0,20.2,20
0,20.2,16.4
0,20.2,17.7
0,20.2,19.5
0,20.2,20.2
0,20.2,21.4
0,20.2,19.9
0,20.2,19
0,20.2,19.1
0,20.2,19.1
0,20.2,20.1
0,20.2,19.9
0,20.2,19.6
0,20.2,23.2
0,20.2,29.8
0,20.2,13.8
0,20.2,13.3
0,20.2,16.7
0,20.2,12
0,20.2,14.6
0,20.2,21.4
0,20.2,23
0,20.2,23.7
0,20.2,25
0,20.2,21.8
0,20.2,20.6
0,20.2,21.2
0,20.2,19.1
0,20.2,20.6
0,20.1,15.2
0,20.1,7
0,20.1,8.1
0,20.1,13.6
0,20.1,20.1
0,19.2,21.8
0,19.2,24.5
0,19.2,23.1
0,19.2,19.7
0,19.2,18.3
0,19.2,21.2
0,19.2,17.5
0,19.2,16.8
0,21,22.4
0,21,20.6
0,21,23.9
0,21,22
0,21,11.9
